DRCOV VERSION: 3
DRCOV FLAVOR: drcov-64
Module Table: version 5, count 38
Columns: id, containing_id, start, end, entry, offset, preferred_base, path
  0,   0, 0x00007f5ffcb4e000, 0x00007f5ffcb4f000, 0x00007f5ffcb4f1d0, 0000000000000000, 0x0000000072000000,  /dynamorio/build/clients/lib64/release/libdrcov.so
 24,  22, 0x00007f6040883000, 0x00007f6040888000, 0x00007f6040873190, 0000000000018000, 0x0000000000018000,  /usr/lib/x86_64-linux-gnu/libpthread-2.31.so
 25,  22, 0x00007f6040888000, 0x00007f604088e000, 0x00007f6040873190, 000000000001cc08, 0x000000000001d000,  /usr/lib/x86_64-linux-gnu/libpthread-2.31.so
 26,  26, 0x00007f6040b78000, 0x00007f6040b79000, 0x00007f6040b79220, 0000000000000000, 0x0000000000000000,  /usr/lib/x86_64-linux-gnu/libdl-2.31.so
 27,  26, 0x00007f6040b79000, 0x00007f6040b7b000, 0x00007f6040b79220, 0000000000001000, 0x0000000000001000,  /usr/lib/x86_64-linux-gnu/libdl-2.31.so
 28,  26, 0x00007f6040b7b000, 0x00007f6040b7c000, 0x00007f6040b79220, 0000000000003000, 0x0000000000003000,  /usr/lib/x86_64-linux-gnu/libdl-2.31.so
 29,  26, 0x00007f6040b7c000, 0x00007f6040b7e000, 0x00007f6040b79220, 0000000000003d70, 0x0000000000004000,  /usr/lib/x86_64-linux-gnu/libdl-2.31.so
 30,  30, 0x00007f604088e000, 0x00007f6040890000, 0x00007f60408902e0, 0000000000000000, 0x0000000000000000,  /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.9.0
 31,  30, 0x00007f6040890000, 0x00007f60408f4000, 0x00007f60408902e0, 0000000000002000, 0x0000000000002000,  /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.9.0
 32,  30, 0x00007f60408f4000, 0x00007f604091c000, 0x00007f60408902e0, 0000000000066000, 0x0000000000066000,  /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.9.0
 33,  30, 0x00007f604091c000, 0x00007f604091e000, 0x00007f60408902e0, 000000000008dd10, 0x000000000008e000,  /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.9.0
 34,  34, 0x00007f6040b10000, 0x00007f6040b16000, 0x00007f6040b17040, 0000000000000000, 0x0000000000000000,  /usr/lib/x86_64-linux-gnu/libselinux.so.1
 35,  34, 0x00007f6040b16000, 0x00007f6040b2f000, 0x00007f6040b17040, 0000000000006000, 0x0000000000006000,  /usr/lib/x86_64-linux-gnu/libselinux.so.1
 36,  34, 0x00007f6040b2f000, 0x00007f6040b36000, 0x00007f6040b17040, 000000000001f000, 0x000000000001f000,  /usr/lib/x86_64-linux-gnu/libselinux.so.1
 37,  34, 0x00007f6040b37000, 0x00007f6040b3b000, 0x00007f6040b17040, 0000000000026cb8, 0x0000000000027000,  /usr/lib/x86_64-linux-gnu/libselinux.so.1
BB Table: 3577 bbs
module id, start, size:
module[  9]: 0x0000000000000100,   8
module[  9]: 0x0000000000000df0,  83
module[  9]: 0x0000000000000e43,  49
module[  9]: 0x0000000000000e9f,   6
module[  9]: 0x0000000000000ea5,  17
module[  9]: 0x0000000000000e78,  16
module[  9]: 0x0000000000001070,  14
module[  9]: 0x0000000000001090,  16
module[  9]: 0x0000000000001210,  16
module[  9]: 0x0000000000001220,  18
module[  9]: 0x0000000000000ea9,  13
module[  9]: 0x0000000000000e88,  23
module[  9]: 0x0000000000000eb6,   9
module[  9]: 0x0000000000000ebf,  12
module[  9]: 0x0000000000000ecb,  16
module[  9]: 0x0000000000000edb,  16
